City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Gorontalo,16,ID,1563498079,85,0.54,123.06,77.09,2.71
86,Larap,100,PH,1563498079,78,14.3,122.65,83.93,18.84
87,Tuktoyaktuk,40,CA,1563498079,82,69.44,-133.03,55.4,6.93
88,Maniitsoq,100,GL,1563497806,95,65.42,-52.9,43.43,21.5
89,Codrington,0,AU,1563498080,62,-28.95,153.24,62.6,2.89
90,Vila Velha,0,BR,1563498080,78,-3.71,-38.6,86,8.05
91,Jiazi,0,CN,1563498080,89,19.61,110.49,84.2,2.24
92,New Norfolk,20,AU,1563498080,46,-42.78,147.06,55.99,21.92
93,Saldanha,0,PT,1563498081,51,41.42,-6.55,69.35,3
94,Arraial do Cabo,0,BR,1563498081,72,-22.97,-42.02,65.57,13.13
95,Firozpur,40,IN,1563498081,83,30.96,74.61,80.6,9.17
96,Turukhansk,0,RU,1563498081,48,65.8,87.96,64.85,15.88
97,Sur,0,OM,1563498081,70,22.57,59.53,79.79,11.97
98,Lagoa,0,PT,1563498082,64,37.14,-8.45,75.99,4.7
99,Zyryanka,100,RU,1563498082,57,65.73,150.89,49.01,13.71
100,Diffa,89,NE,1563498082,64,13.32,12.61,81.77,21.23
101,Novyy Oskol,0,RU,1563498082,89,50.76,37.86,54.23,7.36
102,Ewa Beach,40,US,1563498082,46,21.32,-158.01,89.6,25.28
103,Pochutla,40,MX,1563498083,70,15.74,-96.47,86,0.74
104,Caluquembe,0,AO,1563498083,34,-13.78,14.68,53.15,4.59
105,Bluff,0,AU,1563498083,42,-23.58,149.07,59.81,6.06
106,Nikolskoye,90,RU,1563498083,93,59.7,30.79,61,6.71
107,Athabasca,100,CA,1563498083,98,54.72,-113.29,53.33,8.93
108,Balclutha,100,NZ,1563498084,76,-46.24,169.74,50,1.99
109,Cabedelo,20,BR,1563497857,88,-6.97,-34.84,71.6,6.93
110,Roald,100,NO,1563498084,93,62.58,6.12,57.99,3.36
111,Rostovka,0,RU,1563498085,87,55.02,73.58,59,2.24
112,Corning,20,US,1563497806,69,42.14,-77.05,80.6,2.75
113,Porvoo,0,FI,1563498085,76,60.4,25.66,60.01,8.05
114,Neuquen,0,AR,1563498085,48,-38.95,-68.06,44.6,5.86
115,Kumluca,0,TR,1563498085,73,36.37,30.29,59.63,3.15
116,Hobart,20,AU,1563497804,46,-42.88,147.33,55.99,21.92
117,Fort Nelson,90,CA,1563498086,93,58.81,-122.69,57.2,9.17
118,Sao Geraldo do Araguaia,51,BR,1563498015,59,-6.4,-48.55,74.03,1.54
119,Vilyuysk,0,RU,1563498086,39,63.75,121.63,54.05,14.99
120,Sorland,47,NO,1563498086,75,67.67,12.69,56.21,12.57
121,Isangel,40,VU,1563498086,73,-19.55,169.27,77,13.87
122,Tual,78,ID,1563498087,88,-5.67,132.75,77.09,16.33
123,Dunedin,100,NZ,1563498087,64,-45.87,170.5,51.01,10
124,Kokopo,100,PG,1563498087,67,-4.34,152.27,82.85,3.09
125,Kodiak,1,US,1563498087,27,39.95,-94.76,93.2,13.87
126,Manggar,100,ID,1563498088,89,-2.88,108.27,77.81,5.08
127,Georgetown,40,GY,1563497843,78,6.8,-58.16,82.4,6.93
128,Katsuura,75,JP,1563498088,94,33.93,134.5,75.99,1.12
129,Fare,36,PF,1563498088,68,-16.7,-151.02,74.75,16.87
